Mv,Hc,Skew,Jdp,File
0.998,4.9825,0.0,0.0,0.0
0.998,7.1587,0.0,0.0,1.0
0.998,5.17802,0.0,0.0,2.0
0.998,5.22476,0.0,0.0,3.0
0.998,5.26983,0.0,0.0,4.0
0.998,4.98301,0.0,0.0,5.0
0.998,5.32168,0.0,0.0,6.0
0.998,5.3782,0.0,0.0,7.0
0.998,5.43677,0.0,0.0,8.0
0.998,5.49609,0.0,0.0,9.0
0.998,5.55713,0.0,0.0,10.0
0.998,5.03357,0.0,0.0,11.0
0.998,5.62016,0.0,0.0,12.0
0.998,5.68207,0.0,0.0,13.0
0.998,5.72194,0.0,0.0,14.0
0.998,5.78918,0.0,0.0,15.0
0.998,5.85623,0.0,0.0,16.0
0.998,5.00264,0.0,0.0,17.0
0.998,5.90861,0.0,0.0,18.0
0.998,5.96063,0.0,0.0,19.0
0.998,6.02835,0.0,0.0,20.0
0.998,6.05813,0.0,0.0,21.0
0.998,6.11914,0.0,0.0,22.0
0.998,6.14284,0.0,0.0,23.0
0.998,6.25518,0.0,0.0,24.0
0.998,6.30747,0.0,0.0,25.0
0.998,6.38749,0.0,0.0,26.0
0.998,6.4397,0.0,0.0,27.0
0.998,5.01585,0.0,0.0,28.0
0.998,6.48342,0.0,0.0,29.0
0.998,6.53268,0.0,0.0,30.0
0.998,6.5774,0.0,0.0,31.0
0.998,5.05843,0.0,0.0,32.0
0.998,6.6181,0.0,0.0,33.0
0.998,6.74311,0.0,0.0,34.0
0.998,6.87112,0.0,0.0,35.0
0.998,6.97104,0.0,0.0,36.0
0.998,7.03268,0.0,0.0,37.0
0.998,7.08268,0.0,0.0,38.0
0.998,5.08623,0.0,0.0,39.0
0.998,5.12964,0.0,0.0,40.0
0.998,4.98618,0.0,0.05,0.0
0.998,6.85711,0.0,0.05,1.0
0.998,5.07884,0.0,0.05,2.0
0.998,5.11139,0.0,0.05,3.0
0.998,5.15813,0.0,0.05,4.0
0.998,4.98698,0.0,0.05,5.0
0.998,5.20318,0.0,0.05,6.0
0.998,5.24221,0.0,0.05,7.0
0.998,5.2849,0.0,0.05,8.0
0.998,5.35015,0.0,0.05,9.0
0.998,5.4066,0.0,0.05,10.0
0.998,5.00056,0.0,0.05,11.0
0.998,5.44787,0.0,0.05,12.0
0.998,5.51606,0.0,0.05,13.0
0.998,5.56926,0.0,0.05,14.0
0.998,5.64231,0.0,0.05,15.0
0.998,5.68031,0.0,0.05,16.0
0.998,4.98112,0.0,0.05,17.0
0.998,5.7145,0.0,0.05,18.0
0.998,5.77918,0.0,0.05,19.0
0.998,5.83384,0.0,0.05,20.0
0.998,5.88169,0.0,0.05,21.0
0.998,7.2891,0.0,0.05,22.0
0.998,5.93323,0.0,0.05,23.0
0.998,6.0016,0.0,0.05,24.0
0.998,6.0417,0.0,0.05,25.0
0.998,6.06101,0.0,0.05,26.0
0.998,6.11685,0.0,0.05,27.0
0.998,6.13555,0.0,0.05,28.0
0.998,4.98485,0.0,0.05,29.0
0.998,6.19268,0.0,0.05,30.0
0.998,6.24676,0.0,0.05,31.0
0.998,6.28557,0.0,0.05,32.0
0.998,5.01422,0.0,0.05,33.0
0.998,6.34301,0.0,0.05,34.0
0.998,6.39736,0.0,0.05,35.0
0.998,6.45062,0.0,0.05,36.0
0.998,6.49147,0.0,0.05,37.0
0.998,6.59739,0.0,0.05,38.0
0.998,6.75718,0.0,0.05,39.0
0.998,5.02968,0.0,0.05,40.0
0.998,5.05526,0.0,0.05,41.0
0.998,4.99075,0.0,0.1,0.0
0.998,6.35162,0.0,0.1,1.0
0.998,5.02596,0.0,0.1,2.0
0.998,5.04999,0.0,0.1,3.0
0.998,5.071,0.0,0.1,4.0
0.998,4.98761,0.0,0.1,5.0
0.998,5.09914,0.0,0.1,6.0
0.998,5.13874,0.0,0.1,7.0
0.998,5.18902,0.0,0.1,8.0
0.998,5.22123,0.0,0.1,9.0
0.998,5.26206,0.0,0.1,10.0
0.998,4.98352,0.0,0.1,11.0
0.998,5.3101,0.0,0.1,12.0
0.998,5.3675,0.0,0.1,13.0
0.998,5.41538,0.0,0.1,14.0
0.998,5.46044,0.0,0.1,15.0
0.998,5.51622,0.0,0.1,16.0
0.998,4.98577,0.0,0.1,17.0
0.998,5.58027,0.0,0.1,18.0
0.998,5.61862,0.0,0.1,19.0
0.998,5.66385,0.0,0.1,20.0
0.998,5.71683,0.0,0.1,21.0
0.998,6.9964,0.0,0.1,22.0
0.998,5.75391,0.0,0.1,23.0
0.998,5.8157,0.0,0.1,24.0
0.998,5.86126,0.0,0.1,25.0
0.998,5.9003,0.0,0.1,26.0
0.998,5.94356,0.0,0.1,27.0
0.998,5.99033,0.0,0.1,28.0
0.998,4.98806,0.0,0.1,29.0
0.998,6.01276,0.0,0.1,30.0
0.998,6.09494,0.0,0.1,31.0
